Field,Plot,Treatment,PercentDamage,,Field,Plot,Treatment,PercentDamage,,Field,Plot,Treatment,PercentDamage,,Field,Plot,Treatment,PercentDamage
1,1,0,0,,1,1,0,0,,1,1,0,0,,1,1,0,0
1,1,0,0,,1,1,0,14.3,,1,1,0,11.1,,1,1,0,12.5
1,1,0,0,,1,1,0,0,,1,1,0,0,,1,1,0,0
1,1,0,0,,1,1,0,0,,1,1,0,0,,1,1,0,0
1,1,0,0,,1,1,0,0,,1,1,0,0,,1,1,0,0
1,1,0,0,,1,1,0,0,,1,1,0,0,,1,1,0,0
1,1,0,0,,1,1,0,14.3,,1,1,0,0,,1,1,0,0
1,1,0,0,,1,1,0,0,,1,1,0,0,,1,1,0,0
1,1,0,0,,1,1,0,0,,1,1,0,12.5,,1,1,0,11.1
1,2,1,0,,1,1,0,0,,1,1,0,0,,1,1,0,0
1,2,1,0,,1,1,0,0,,1,1,0,22.2,,1,1,0,20
1,2,1,0,,1,1,0,16.7,,1,1,0,0,,1,1,0,0
1,2,1,0,,1,1,0,0,,1,1,0,22.2,,1,1,0,18.2
1,2,1,0,,1,1,0,0,,1,1,0,11.1,,1,1,0,10
1,2,1,0,,1,1,0,0,,1,1,0,0,,1,1,0,0
1,2,1,16.7,,1,1,0,0,,1,1,0,0,,1,1,0,9.1
1,2,1,0,,1,1,0,0,,1,1,0,0,,1,1,0,14.3
1,2,1,0,,1,2,1,0,,1,2,1,0,,1,2,1,0
1,3,0,0,,1,2,1,0,,1,2,1,0,,1,2,1,0
1,3,0,0,,1,2,1,0,,1,2,1,0,,1,2,1,0
1,3,0,0,,1,2,1,0,,1,2,1,0,,1,2,1,0
1,3,0,12.5,,1,2,1,0,,1,2,1,0,,1,2,1,0
1,3,0,0,,1,2,1,0,,1,2,1,0,,1,2,1,0
1,3,0,0,,1,2,1,0,,1,2,1,0,,1,2,1,0
1,3,0,16.7,,1,2,1,0,,1,2,1,0,,1,2,1,0
1,3,0,16.7,,1,2,1,0,,1,2,1,0,,1,2,1,0
1,3,0,0,,1,2,1,0,,1,2,1,0,,1,2,1,0
1,4,1,0,,1,2,1,28.6,,1,2,1,20,,1,2,1,20
1,4,1,0,,1,2,1,12.5,,1,2,1,10,,1,2,1,0
1,4,1,0,,1,2,1,12.5,,1,2,1,0,,1,2,1,0
1,4,1,42.9,,1,2,1,44.4,,1,2,1,30,,1,2,1,10
1,4,1,0,,1,2,1,0,,1,2,1,0,,1,2,1,0
1,4,1,0,,1,2,1,0,,1,2,1,0,,1,2,1,0
1,4,1,0,,1,2,1,0,,1,2,1,0,,1,2,1,0
1,4,1,0,,1,3,0,0,,1,3,0,0,,1,3,0,0
1,4,1,12.5,,1,3,0,14.3,,1,3,0,0,,1,3,0,0
1,5,1,0,,1,3,0,0,,1,3,0,0,,1,3,0,0
1,5,1,0,,1,3,0,11.1,,1,3,0,0,,1,3,0,0
1,5,1,0,,1,3,0,0,,1,3,0,0,,1,3,0,0
1,5,1,0,,1,3,0,25,,1,3,0,11.1,,1,3,0,11.1
1,5,1,0,,1,3,0,10,,1,3,0,0,,1,3,0,0
1,5,1,0,,1,3,0,28.6,,1,3,0,22.2,,1,3,0,0
1,5,1,0,,1,3,0,0,,1,3,0,0,,1,3,0,12.5
1,5,1,0,,1,3,0,0,,1,3,0,0,,1,3,0,0
1,5,1,0,,1,3,0,0,,1,3,0,0,,1,3,0,0
1,6,0,0,,1,3,0,33.3,,1,3,0,10,,1,3,0,7.7
1,6,0,16.7,,1,3,0,14.3,,1,3,0,11.1,,1,3,0,11.1
1,6,0,33.3,,1,3,0,0,,1,3,0,0,,1,3,0,0
1,6,0,0,,1,3,0,0,,1,3,0,0,,1,3,0,8.3
1,6,0,0,,1,3,0,0,,1,3,0,0,,1,3,0,0
1,6,0,0,,1,3,0,0,,1,3,0,0,,1,3,0,22.2
1,6,0,0,,1,4,1,0,,1,4,1,27.3,,1,4,1,0
1,6,0,25,,1,4,1,22.2,,1,4,1,18.2,,1,4,1,22.2
1,6,0,0,,1,4,1,22.2,,1,4,1,0,,1,4,1,0
2,7,1,0,,1,4,1,0,,1,4,1,0,,1,4,1,0
2,7,1,0,,1,4,1,0,,1,4,1,44.4,,1,4,1,11.1
2,7,1,0,,1,4,1,37.5,,1,4,1,44.4,,1,4,1,50
2,7,1,0,,1,4,1,50,,1,4,1,0,,1,4,1,22.2
2,7,1,25,,1,4,1,0,,1,4,1,0,,1,4,1,0
2,7,1,0,,1,4,1,0,,1,4,1,13.3,,1,4,1,15
2,7,1,100,,1,4,1,25,,1,4,1,0,,1,4,1,18.2
2,7,1,0,,1,4,1,0,,1,4,1,0,,1,4,1,0
2,7,1,0,,1,4,1,28.6,,1,4,1,0,,1,4,1,0
2,8,0,0,,1,4,1,0,,1,4,1,0,,1,4,1,0
2,8,0,0,,1,4,1,10,,1,4,1,0,,1,4,1,0
2,8,0,25,,1,4,1,0,,1,4,1,0,,1,4,1,0
2,8,0,0,,1,4,1,11.1,,1,4,1,9.1,,1,4,1,11.1
2,8,0,50,,1,4,1,18.2,,1,4,1,7.7,,1,4,1,12.5
2,8,0,0,,1,5,1,0,,1,5,1,0,,1,5,1,0
2,8,0,0,,1,5,1,0,,1,5,1,0,,1,5,1,0
2,8,0,0,,1,5,1,0,,1,5,1,0,,1,5,1,0
2,8,0,0,,1,5,1,0,,1,5,1,0,,1,5,1,10
2,9,0,0,,1,5,1,0,,1,5,1,0,,1,5,1,0
2,9,0,60,,1,5,1,0,,1,5,1,0,,1,5,1,0
2,9,0,100,,1,5,1,0,,1,5,1,0,,1,5,1,11.1
2,9,0,0,,1,5,1,0,,1,5,1,0,,1,5,1,0
2,9,0,0,,1,5,1,0,,1,5,1,0,,1,5,1,0
2,9,0,0,,1,5,1,0,,1,5,1,0,,1,5,1,0
2,9,0,0,,1,5,1,0,,1,5,1,0,,1,5,1,0
2,9,0,0,,1,5,1,0,,1,5,1,0,,1,5,1,0
2,9,0,50,,1,5,1,0,,1,5,1,11.1,,1,5,1,11.1
3,10,1,0,,1,5,1,0,,1,5,1,0,,1,5,1,0
3,10,1,0,,1,5,1,0,,1,5,1,0,,1,5,1,0
3,10,1,0,,1,5,1,0,,1,5,1,0,,1,5,1,0
3,10,1,0,,1,5,1,0,,1,5,1,0,,1,5,1,0
3,10,1,0,,1,6,0,0,,1,6,0,0,,1,6,0,0
3,10,1,0,,1,6,0,0,,1,6,0,0,,1,6,0,0
3,10,1,0,,1,6,0,12.5,,1,6,0,0,,1,6,0,0
3,10,1,0,,1,6,0,0,,1,6,0,20,,1,6,0,18.2
3,10,1,0,,1,6,0,0,,1,6,0,0,,1,6,0,0
3,11,0,0,,1,6,0,0,,1,6,0,0,,1,6,0,0
3,11,0,0,,1,6,0,0,,1,6,0,0,,1,6,0,0
3,11,0,0,,1,6,0,0,,1,6,0,0,,1,6,0,0
3,11,0,0,,1,6,0,16.7,,1,6,0,0,,1,6,0,0
3,11,0,0,,1,6,0,0,,1,6,0,0,,1,6,0,0
3,11,0,0,,1,6,0,25,,1,6,0,0,,1,6,0,40
3,11,0,0,,1,6,0,0,,1,6,0,0,,1,6,0,0
3,11,0,0,,1,6,0,0,,1,6,0,0,,1,6,0,0
3,11,0,0,,1,6,0,0,,1,6,0,0,,1,6,0,0
3,12,0,25,,1,6,0,16.7,,1,6,0,16.7,,1,6,0,0
3,12,0,0,,1,6,0,0,,1,6,0,0,,1,6,0,0
3,12,0,0,,1,6,0,0,,1,6,0,0,,1,6,0,0
3,12,0,0,,2,7,1,0,,2,7,1,0,,2,7,1,0
3,12,0,0,,2,7,1,0,,2,7,1,0,,2,7,1,0
3,12,0,0,,2,7,1,0,,2,7,1,0,,2,7,1,0
3,12,0,16.7,,2,7,1,0,,2,7,1,16.7,,2,7,1,33.3
3,12,0,0,,2,7,1,40,,2,7,1,33.3,,2,7,1,14.3
3,12,0,0,,2,7,1,25,,2,7,1,16.7,,2,7,1,0
3,13,0,0,,2,7,1,0,,2,7,1,0,,2,7,1,0
3,13,0,0,,2,7,1,0,,2,7,1,0,,2,7,1,0
3,13,0,20,,2,7,1,20,,2,7,1,0,,2,7,1,16.7
3,13,0,0,,2,7,1,0,,2,7,1,0,,2,7,1,0
3,13,0,20,,2,7,1,0,,2,7,1,0,,2,7,1,0
3,13,0,0,,2,7,1,0,,2,7,1,0,,2,7,1,0
3,13,0,0,,2,7,1,0,,2,7,1,0,,2,7,1,0
3,13,0,25,,2,7,1,0,,2,7,1,0,,2,7,1,0
3,13,0,0,,2,7,1,0,,2,7,1,0,,2,7,1,0
3,14,1,0,,2,7,1,25,,2,7,1,33.3,,2,7,1,0
3,14,1,0,,2,7,1,0,,2,7,1,0,,2,7,1,0
3,14,1,0,,2,8,0,0,,2,8,0,0,,2,8,0,0
3,14,1,0,,2,8,0,50,,2,8,0,0,,2,8,0,12.5
3,14,1,0,,2,8,0,33.3,,2,8,0,28.6,,2,8,0,22.2
3,14,1,0,,2,8,0,25,,2,8,0,25,,2,8,0,0
3,14,1,0,,2,8,0,40,,2,8,0,33.3,,2,8,0,0
3,14,1,0,,2,8,0,0,,2,8,0,0,,2,8,0,0
3,14,1,0,,2,8,0,60,,2,8,0,25,,2,8,0,28.6
3,15,1,0,,2,8,0,0,,2,8,0,0,,2,8,0,0
3,15,1,0,,2,8,0,0,,2,8,0,0,,2,8,0,14.3
3,15,1,0,,2,8,0,0,,2,8,0,0,,2,8,0,0
3,15,1,0,,2,8,0,0,,2,8,0,0,,2,8,0,0
3,15,1,0,,2,8,0,0,,2,8,0,0,,2,8,0,0
