project_id,camera_id,camera_name,make,model,serial_number,year_purchased
2004290,2049927,NRC165,Reconyx,RC55 RAPIDFIRE,None,
2004290,2049895,NCSU 62,None,None,None,
2004290,2080617,Cam 5A,,,,
2004290,2104453,Plot_3_cam,,,,
2004290,2080641,Cam 13A,,,,
2004290,2049870,35963,RECONYX,UltraFire,None,
2004290,2049873,NCSU 359,RECONYX,UltraFire,None,
2004290,2050075,NCSU 52,None,None,None,
2004290,2050049,NRC 21,None,None,None,
2004290,2049930,NRC 245,BUSHNELL,None,None,
2004290,2049783,FWCB 1001,BUSHNELL,None,None,
2004290,2049788,NCSU 32,None,None,None,
2004290,2080619,Cam 5C,,,,
2004290,2050004,NCSU 69,None,None,None,
2004290,2050077,NRC 215,RECONYX,PC800 PROFESSIONAL,None,
2004290,2080632,Cam 10A,,,,
2004290,2049843,NR301,RECONYX,HC500 HYPERFIRE,None,
2004290,2049838,ncsu 10,None,None,None,
2004290,2049875,NCSU42,None,None,None,
2004290,2049765,NCSU 80,None,None,None,
2004290,2049987,NRC100,RECONYX,PC800 PROFESSIONAL,None,
2004290,2049936,NRC206,None,None,None,
2004290,2049968,FWCB1001,BUSHNELL,None,None,
2004290,2049776,NCSU 26,None,None,None,
2004290,2049899,ncsu 11,None,None,None,
2004290,2049897,H500HH08217819,RECONYX,HC500 HYPERFIRE,None,
2004290,2049674,42,RECONYX,PC800 PROFESSIONAL,None,
2004290,2049758,NCSU52,None,None,None,
2004290,2080647,Cam 15A,,,,
2004290,2080631,Cam 9C,,,,
2004290,2049967,NRC223,RECONYX,PC800 PROFESSIONAL,None,
2004290,2050030,NRC 247,RECONYX,HC500 HYPERFIRE,None,
2004290,2049858,NRC267,RECONYX,HC500 HYPERFIRE,None,
2004290,2049948,NCSU45,None,None,None,
2004290,2049971,H500HI12246408,RECONYX,HC500 HYPERFIRE,None,
2004290,2104451,Plot_2_cam,,,,
2004290,2080610,Cam 2C,,,,
2004290,2104473,Plot_20_cam,,,,
2004290,2049903,NRC255,RECONYX,HC500 HYPERFIRE,None,
2004290,2049851,NRC31,RECONYX,PC800 PROFESSIONAL,None,
2004290,2049976,PR7,None,None,None,
2004290,2050076,1007,BUSHNELL,None,None,
2004290,2049750,NRC 42,RECONYX,PC800 PROFESSIONAL,None,
2004290,2104460,Plot_9_cam,,,,
2004290,2049823,NCSU 1002,BUSHNELL,None,None,
2004290,2080644,Cam 14A,,,,
2004290,2049910,NCSU 61,None,None,None,
2004290,2049829,1012,BUSHNELL,None,None,
2004290,2049960,NCSU 18,None,None,None,
2004290,2049798,NCR277,RECONYX,HC500 HYPERFIRE,None,
2004290,2049954,FWCB1009,BUSHNELL,None,None,
