project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by,remarks
2004290,WTD_10_071724_072424,Plot_10_WTD_2024,-77.883859,35.626534,2024-07-17 00:00:00,2024-07-24 00:00:00,None,,Other,,2104462,Plot_10_cam,1,Camera Functioning,Chest height,,Parallel,,,,42,NCSU Deer Repellent Project 2024,,,,,,
2004290,WTD_17_062424_070324,Plot_17_WTD_2024,-77.886229,35.623583,2024-06-24 00:00:00,2024-07-03 00:00:00,None,,Other,,2104469,Plot_17_cam,1,Camera Functioning,Chest height,,Parallel,,,,42,NCSU Deer Repellent Project 2024,,,,,,
2004290,WTD_7_060524_061324,Plot_7_WTD_2024,-77.89688,35.636233,2024-06-05 00:00:00,2024-06-13 00:00:00,None,,Other,,2104458,Plot_7_cam,1,Camera Functioning,Chest height,,Parallel,,,,42,NCSU Deer Repellent Project 2024,,,,,,
2004290,WTD_7_072424_080624,Plot_7_WTD_2024,-77.89688,35.636233,2024-07-24 00:00:00,2024-08-06 00:00:00,None,,Other,,2104458,Plot_7_cam,1,Camera Functioning,Chest height,,Parallel,,,,42,NCSU Deer Repellent Project 2024,,,,,,
2004290,WTD_12_060524_061324,Plot_12_WTD_2024,-77.885121,35.625808,2024-06-05 00:00:00,2024-06-13 00:00:00,None,,Other,,2104464,Plot_12_cam,1,Camera Functioning,Chest height,,Parallel,,,,41,NCSU Deer Repellent Project 2024,,,,,,
2004290,WTD_14_071024_071724,Plot_14_WTD_2024,-77.886591,35.625189,2024-07-10 00:00:00,2024-07-17 00:00:00,None,,Other,,2104466,Plot_14_cam,1,Camera Functioning,Chest height,,Parallel,,,,42,NCSU Deer Repellent Project 2024,,,,,,
2004290,WTD_5_071724_072424,Plot_5_WTD_2024,-77.907304,35.632657,2024-07-17 00:00:00,2024-07-24 00:00:00,None,,Other,,2104456,Plot_5_cam,1,Camera Functioning,Chest height,,Parallel,,,,42,NCSU Deer Repellent Project 2024,,,,,,
2004290,WTD_6_061324_062424,Plot_6_WTD_2024,-77.90606,35.633237,2024-06-13 00:00:00,2024-06-24 00:00:00,None,,Other,,2104457,Plot_6_cam,1,Camera Functioning,Chest height,,Parallel,,,,42,NCSU Deer Repellent Project 2024,,,,,,
2004290,WTD_10_060524_061324,Plot_10_WTD_2024,-77.883859,35.626534,2024-06-05 00:00:00,2024-06-13 00:00:00,None,,Other,,2104462,Plot_10_cam,1,Camera Functioning,Chest height,,Parallel,,,,42,NCSU Deer Repellent Project 2024,,,,,,
2004290,WTD_18_061324_062424,Plot_18_WTD_2024,-77.886008,35.622853,2024-06-13 00:00:00,2024-06-24 00:00:00,None,,Other,,2104471,Plot_18_cam,1,Camera Functioning,Chest height,,Parallel,,,,42,NCSU Deer Repellent Project 2024,,,,,,
